Id,Class
2001,EI
2002,IE
2003,EI
2004,IE
2005,N
2006,N
2007,N
2008,EI
2009,N
2010,N
2011,N
2012,N
2013,EI
2014,N
2015,EI
2016,IE
2017,IE
2018,EI
2019,N
2020,IE
2021,IE
2022,EI
2023,EI
2024,EI
2025,EI
2026,N
2027,N
2028,N
2029,N
2030,N
2031,N
2032,N
2033,IE
2034,N
2035,EI
2036,EI
2037,EI
2038,EI
2039,EI
2040,EI
2041,EI
2042,EI
2043,EI
2044,EI
2045,EI
2046,EI
2047,EI
2048,EI
2049,EI
2050,N
2051,N
2052,EI
2053,N
2054,N
2055,N
2056,N
2057,EI
2058,EI
2059,EI
2060,EI
2061,EI
2062,EI
2063,EI
2064,EI
2065,N
2066,N
2067,EI
2068,N
2069,N
2070,N
2071,IE
2072,EI
2073,IE
2074,IE
2075,N
2076,N
2077,N
2078,N
2079,N
2080,N
2081,EI
2082,N
2083,EI
2084,N
2085,EI
2086,EI
2087,EI
2088,N
2089,N
2090,N
2091,N
2092,N
2093,EI
2094,N
2095,IE
2096,N
2097,N
2098,IE
2099,N
2100,N
2101,EI
2102,N
2103,IE
2104,N
2105,N
2106,IE
2107,EI
2108,N
2109,EI
2110,EI
2111,IE
2112,N
2113,N
2114,N
2115,N
2116,N
2117,EI
2118,N
2119,N
2120,N
2121,EI
2122,N
2123,N
2124,N
2125,EI
2126,N
2127,N
2128,N
2129,N
2130,EI
2131,EI
2132,N
2133,EI
2134,EI
2135,IE
2136,EI
2137,N
2138,N
2139,N
2140,EI
2141,EI
2142,N
2143,EI
2144,IE
2145,IE
2146,IE
2147,IE
2148,IE
2149,IE
2150,IE
2151,EI
2152,IE
2153,N
2154,N
2155,N
2156,IE
2157,N
2158,N
2159,IE
2160,N
2161,IE
2162,EI
2163,EI
2164,EI
2165,EI
2166,N
2167,N
2168,EI
2169,EI
2170,N
2171,EI
2172,N
2173,EI
2174,EI
2175,EI
2176,IE
2177,EI
2178,EI
2179,EI
2180,N
2181,EI
2182,N
2183,IE
2184,EI
2185,N
2186,N
2187,EI
2188,N
2189,EI
2190,N
2191,N
2192,EI
2193,N
2194,N
2195,N
2196,IE
2197,EI
2198,EI
2199,IE
2200,IE
2201,IE
2202,IE
2203,N
2204,N
2205,N
2206,EI
2207,N
2208,EI
2209,EI
2210,EI
2211,N
2212,N
2213,EI
2214,EI
2215,EI
2216,N
2217,N
2218,EI
2219,EI
2220,N
2221,IE
2222,N
2223,IE
2224,IE
2225,EI
2226,IE
2227,IE
2228,IE
2229,IE
2230,IE
2231,EI
2232,IE
2233,IE
2234,EI
2235,EI
2236,N
2237,IE
2238,N
2239,EI
2240,N
2241,N
2242,EI
2243,EI
2244,EI
2245,EI
2246,N
2247,EI
2248,N
2249,IE
2250,N
2251,N
2252,N
2253,N
2254,N
2255,N
2256,N
2257,N
2258,N
2259,IE
2260,EI
2261,EI
2262,N
2263,N
2264,N
2265,N
2266,N
2267,IE
2268,IE
2269,N
2270,EI
2271,N
2272,EI
2273,N
2274,N
2275,IE
2276,EI
2277,N
2278,EI
2279,EI
2280,IE
2281,N
2282,IE
2283,N
2284,N
2285,EI
2286,N
2287,N
2288,N
2289,EI
2290,EI
2291,N
2292,N
2293,EI
2294,EI
2295,N
2296,N
2297,IE
2298,N
2299,N
2300,EI
2301,N
2302,N
2303,N
2304,N
2305,N
2306,IE
2307,N
2308,N
2309,EI
2310,IE
2311,IE
2312,EI
2313,IE
2314,N
2315,EI
2316,EI
2317,N
2318,N
2319,N
2320,N
2321,N
2322,EI
2323,IE
2324,N
2325,EI
2326,EI
2327,N
2328,N
2329,N
2330,N
2331,N
2332,IE
2333,IE
2334,EI
2335,IE
2336,N
2337,N
2338,N
2339,N
2340,IE
2341,N
2342,EI
2343,EI
2344,EI
2345,EI
2346,N
2347,N
2348,N
2349,IE
2350,IE
2351,IE
2352,EI
2353,EI
2354,N
2355,EI
2356,N
2357,N
2358,N
2359,N
2360,N
2361,IE
2362,N
2363,N
2364,EI
2365,IE
2366,IE
2367,EI
2368,EI
2369,EI
2370,EI
2371,N
2372,IE
2373,N
2374,IE
2375,N
2376,N
2377,N
2378,N
2379,EI
2380,EI
2381,IE
2382,N
2383,IE
2384,EI
2385,EI
2386,EI
2387,IE
2388,N
2389,EI
2390,EI
2391,EI
2392,EI
2393,EI
2394,IE
2395,IE
2396,N
2397,EI
2398,N
2399,EI
2400,N
2401,IE
2402,IE
2403,N
2404,EI
2405,IE
2406,EI
2407,N
2408,IE
2409,N
2410,EI
2411,EI
2412,EI
2413,N
2414,EI
2415,EI
2416,EI
2417,IE
2418,EI
2419,IE
2420,EI
2421,EI
2422,IE
2423,N
2424,EI
2425,N
2426,IE
2427,EI
2428,EI
2429,N
2430,EI
2431,EI
2432,N
2433,N
2434,IE
2435,IE
2436,N
2437,IE
2438,N
2439,N
2440,N
2441,EI
2442,N
2443,IE
2444,N
2445,N
2446,EI
2447,N
2448,EI
2449,N
2450,IE
2451,IE
2452,N
2453,IE
2454,IE
